,CPI_t
01/01/1957,28.5
01/02/1957,28.6
01/03/1957,28.7
01/04/1957,28.8
01/05/1957,28.8
01/06/1957,28.9
01/07/1957,29
01/08/1957,29
01/09/1957,29.1
01/10/1957,29.2
01/11/1957,29.3
01/12/1957,29.3
01/01/1958,29.3
01/02/1958,29.4
01/03/1958,29.5
01/04/1958,29.5
01/05/1958,29.5
01/06/1958,29.6
01/07/1958,29.6
01/08/1958,29.6
01/09/1958,29.7
01/10/1958,29.7
01/11/1958,29.8
01/12/1958,29.9
01/01/1959,29.9
01/02/1959,29.9
01/03/1959,30
01/04/1959,30
01/05/1959,30.1
01/06/1959,30.2
01/07/1959,30.2
01/08/1959,30.2
01/09/1959,30.3
01/10/1959,30.4
01/11/1959,30.4
01/12/1959,30.5
01/01/1960,30.5
01/02/1960,30.6
01/03/1960,30.6
01/04/1960,30.6
01/05/1960,30.6
01/06/1960,30.7
01/07/1960,30.6
01/08/1960,30.6
01/09/1960,30.6
01/10/1960,30.8
01/11/1960,30.8
01/12/1960,30.7
01/01/1961,30.8
01/02/1961,30.8
01/03/1961,30.9
01/04/1961,30.9
01/05/1961,30.9
01/06/1961,31
01/07/1961,31
01/08/1961,31.1
01/09/1961,31.1
01/10/1961,31.1
01/11/1961,31.2
01/12/1961,31.2
01/01/1962,31.2
01/02/1962,31.2
01/03/1962,31.3
01/04/1962,31.3
01/05/1962,31.4
01/06/1962,31.4
01/07/1962,31.4
01/08/1962,31.5
01/09/1962,31.5
01/10/1962,31.5
01/11/1962,31.5
01/12/1962,31.6
01/01/1963,31.5
01/02/1963,31.6
01/03/1963,31.7
01/04/1963,31.7
01/05/1963,31.7
01/06/1963,31.8
01/07/1963,31.8
01/08/1963,31.9
01/09/1963,31.9
01/10/1963,32
01/11/1963,32
01/12/1963,32.1
01/01/1964,32.2
01/02/1964,32.2
01/03/1964,32.2
01/04/1964,32.2
01/05/1964,32.2
01/06/1964,32.3
01/07/1964,32.3
01/08/1964,32.3
01/09/1964,32.3
01/10/1964,32.4
01/11/1964,32.5
01/12/1964,32.5
01/01/1965,32.6
01/02/1965,32.6
01/03/1965,32.6
01/04/1965,32.7
01/05/1965,32.7
01/06/1965,32.7
01/07/1965,32.7
01/08/1965,32.7
01/09/1965,32.8
01/10/1965,32.8
01/11/1965,32.9
01/12/1965,33
01/01/1966,33
01/02/1966,33.1
01/03/1966,33.1
01/04/1966,33.3
01/05/1966,33.4
01/06/1966,33.5
01/07/1966,33.6
01/08/1966,33.7
01/09/1966,33.8
01/10/1966,34
01/11/1966,34
01/12/1966,34.1
01/01/1967,34.2
01/02/1967,34.2
01/03/1967,34.3
01/04/1967,34.4
01/05/1967,34.5
01/06/1967,34.6
01/07/1967,34.7
01/08/1967,34.9
01/09/1967,35
01/10/1967,35.1
01/11/1967,35.2
01/12/1967,35.4
01/01/1968,35.5
01/02/1968,35.7
01/03/1968,35.8
01/04/1968,35.9
01/05/1968,36
01/06/1968,36.2
01/07/1968,36.4
01/08/1968,36.5
01/09/1968,36.7
01/10/1968,36.9
01/11/1968,37.1
01/12/1968,37.2
01/01/1969,37.3
01/02/1969,37.6
01/03/1969,37.8
01/04/1969,38.1
01/05/1969,38.1
01/06/1969,38.3
01/07/1969,38.5
01/08/1969,38.7
01/09/1969,38.9
01/10/1969,39.1
01/11/1969,39.2
01/12/1969,39.4
01/01/1970,39.6
01/02/1970,39.8
01/03/1970,40.1
01/04/1970,40.4
01/05/1970,40.5
01/06/1970,40.8
01/07/1970,40.9
01/08/1970,41.1
01/09/1970,41.3
01/10/1970,41.5
01/11/1970,41.8
01/12/1970,42
01/01/1971,42.1
01/02/1971,42.2
01/03/1971,42.2
01/04/1971,42.4
01/05/1971,42.6
01/06/1971,42.8
01/07/1971,42.9
01/08/1971,43
01/09/1971,43
01/10/1971,43.1
01/11/1971,43.2
01/12/1971,43.3
01/01/1972,43.5
01/02/1972,43.6
01/03/1972,43.6
01/04/1972,43.8
01/05/1972,43.9
01/06/1972,44
01/07/1972,44.1
01/08/1972,44.3
01/09/1972,44.3
01/10/1972,44.4
01/11/1972,44.4
01/12/1972,44.6
01/01/1973,44.6
01/02/1973,44.8
01/03/1973,45
01/04/1973,45.1
01/05/1973,45.3
01/06/1973,45.4
01/07/1973,45.5
01/08/1973,45.7
01/09/1973,46
01/10/1973,46.3
01/11/1973,46.5
01/12/1973,46.7
01/01/1974,46.9
01/02/1974,47.2
01/03/1974,47.6
01/04/1974,47.9
01/05/1974,48.5
01/06/1974,49
01/07/1974,49.5
01/08/1974,50.2
01/09/1974,50.7
01/10/1974,51.2
01/11/1974,51.6
01/12/1974,52
01/01/1975,52.3
01/02/1975,52.8
01/03/1975,53
01/04/1975,53.3
01/05/1975,53.5
01/06/1975,53.8
01/07/1975,54
01/08/1975,54.2
01/09/1975,54.5
01/10/1975,54.8
01/11/1975,55.2
01/12/1975,55.5
01/01/1976,55.9
01/02/1976,56.2
01/03/1976,56.5
01/04/1976,56.7
01/05/1976,57
01/06/1976,57.2
01/07/1976,57.6
01/08/1976,57.9
01/09/1976,58.2
01/10/1976,58.5
01/11/1976,58.7
01/12/1976,58.9
01/01/1977,59.3
01/02/1977,59.7
01/03/1977,60
01/04/1977,60.3
01/05/1977,60.6
01/06/1977,61
01/07/1977,61.2
01/08/1977,61.5
01/09/1977,61.8
01/10/1977,62
01/11/1977,62.3
01/12/1977,62.7
01/01/1978,63.1
01/02/1978,63.4
01/03/1978,63.8
01/04/1978,64.3
01/05/1978,64.7
01/06/1978,65.2
01/07/1978,65.6
01/08/1978,66.1
01/09/1978,66.7
01/10/1978,67.2
01/11/1978,67.6
01/12/1978,68
01/01/1979,68.5
01/02/1979,69.2
01/03/1979,69.8
01/04/1979,70.3
01/05/1979,70.8
01/06/1979,71.3
01/07/1979,71.9
01/08/1979,72.7
01/09/1979,73.3
01/10/1979,74
01/11/1979,74.8
01/12/1979,75.7
01/01/1980,76.7
01/02/1980,77.5
01/03/1980,78.6
01/04/1980,79.5
01/05/1980,80.1
01/06/1980,81
01/07/1980,80.8
01/08/1980,81.3
01/09/1980,82.1
01/10/1980,83
01/11/1980,83.9
01/12/1980,84.9
01/01/1981,85.4
01/02/1981,85.9
01/03/1981,86.4
01/04/1981,87
01/05/1981,87.8
01/06/1981,88.6
01/07/1981,89.8
01/08/1981,90.7
01/09/1981,91.8
01/10/1981,92.1
01/11/1981,92.5
01/12/1981,93
01/01/1982,93.3
01/02/1982,93.8
01/03/1982,93.9
01/04/1982,94.7
01/05/1982,95.4
01/06/1982,96.1
01/07/1982,96.7
01/08/1982,97.1
01/09/1982,97.2
01/10/1982,97.5
01/11/1982,97.3
01/12/1982,97.2
01/01/1983,97.6
01/02/1983,98
01/03/1983,98.2
01/04/1983,98.6
01/05/1983,98.9
01/06/1983,99.2
01/07/1983,99.8
01/08/1983,100.1
01/09/1983,100.5
01/10/1983,101
01/11/1983,101.5
01/12/1983,101.8
01/01/1984,102.5
01/02/1984,102.8
01/03/1984,103.2
01/04/1984,103.7
01/05/1984,104.1
01/06/1984,104.5
01/07/1984,105
01/08/1984,105.4
01/09/1984,105.8
01/10/1984,106.2
01/11/1984,106.4
01/12/1984,106.8
01/01/1985,107.1
01/02/1985,107.7
01/03/1985,108.1
01/04/1985,108.4
01/05/1985,108.8
01/06/1985,109.1
01/07/1985,109.4
01/08/1985,109.8
01/09/1985,110
01/10/1985,110.5
01/11/1985,111.1
01/12/1985,111.4
01/01/1986,111.9
01/02/1986,112.2
01/03/1986,112.5
01/04/1986,112.9
01/05/1986,113.1
01/06/1986,113.4
01/07/1986,113.8
01/08/1986,114.2
01/09/1986,114.6
01/10/1986,115
01/11/1986,115.3
01/12/1986,115.6
01/01/1987,115.9
01/02/1987,116.2
01/03/1987,116.6
01/04/1987,117.3
01/05/1987,117.7
01/06/1987,117.9
01/07/1987,118.3
01/08/1987,118.7
01/09/1987,119.2
01/10/1987,119.8
01/11/1987,120.1
01/12/1987,120.4
01/01/1988,120.9
01/02/1988,121.2
01/03/1988,121.7
01/04/1988,122.3
01/05/1988,122.7
01/06/1988,123.2
01/07/1988,123.6
01/08/1988,124
01/09/1988,124.7
01/10/1988,125.2
01/11/1988,125.6
01/12/1988,126
01/01/1989,126.5
01/02/1989,126.9
01/03/1989,127.4
01/04/1989,127.8
01/05/1989,128.3
01/06/1989,128.8
01/07/1989,129.2
01/08/1989,129.5
01/09/1989,129.9
01/10/1989,130.6
01/11/1989,131.1
01/12/1989,131.6
01/01/1990,132.1
01/02/1990,132.7
01/03/1990,133.5
01/04/1990,134
01/05/1990,134.4
01/06/1990,135.1
01/07/1990,135.8
01/08/1990,136.6
01/09/1990,137.1
01/10/1990,137.6
01/11/1990,138
01/12/1990,138.6
01/01/1991,139.5
01/02/1991,140.2
01/03/1991,140.5
01/04/1991,140.9
01/05/1991,141.3
01/06/1991,141.8
01/07/1991,142.3
