rx_^2,rx_^3,rx_^4,rx_^5,rx_^7,rx_^10
0.499330596,0.68444215,0.254359455,0.274655287,0.68674095,0.867811787
0.198625826,0.21003258,0.127617799,0.347236073,-0.44378379,-4.399488541
-0.083483492,-0.461766117,-0.562464353,-0.597275745,-1.094857685,-3.762543581
0.09734613,0.012828056,-0.237990518,-0.106665907,0.437510587,-2.041033398
-0.22467635,-0.770867067,-1.326937668,-1.467362981,-0.974783302,-1.542688974
-0.505753279,-0.743788956,-0.859446846,-0.947814091,-0.422751449,-0.462397127
-0.9570082,-1.651569166,-2.066547877,-2.524714731,-2.519877098,-2.014002004
-0.732397429,-1.230758889,-1.502375768,-1.828474999,-2.27481167,-3.2355999
-0.945244865,-1.243790037,-1.705216852,-2.141263067,-2.216533035,-2.227123518
-1.559125843,-1.941190801,-2.225706728,-2.358527359,-3.087538794,-4.331210319
-1.724960687,-1.953154651,-2.41908952,-2.607521877,-3.363674902,-5.855010238
-2.839989339,-3.699592817,-4.813878224,-6.09093728,-7.309607186,-7.459384248
-2.318541143,-2.845781905,-2.844750155,-3.133579741,-3.638200492,-4.548818903
-1.378732637,-1.305707617,-1.196243089,-1.408526555,-1.349842964,-1.044086146
-1.033622151,-0.928208133,-1.080502112,-1.421699534,-1.698581408,-1.16846223
-1.559407389,-1.11768662,-1.257408942,-1.637052131,-2.632588716,-2.107437152
-1.02190991,-0.942995746,-1.16623078,-1.554203529,-2.18544672,-2.736965489
-0.609816664,-0.447350916,-0.725580792,-1.29343495,-2.813003216,-3.648126032
-0.232283806,-0.051076736,-0.067046536,-0.397677047,-1.428928675,-3.50085915
-1.373072709,-2.045121375,-2.803214116,-3.689661803,-5.233834636,-5.774724902
-2.083826805,-3.143250622,-4.405486048,-5.757684556,-7.638490148,-8.223950801
-1.771485358,-3.008110444,-4.173954618,-5.336332302,-6.487695048,-5.939357068
-2.028186712,-3.259532079,-4.779770043,-6.336312353,-7.996293234,-7.310804619
-1.112420599,-1.935470225,-2.645539556,-3.578733614,-5.855406793,-5.88232927
-2.491455461,-3.994422339,-5.197580497,-6.399270805,-9.102743919,-9.988569102
-1.860057302,-3.458248732,-4.690566761,-5.954650513,-7.961391227,-9.039519267
-1.589701151,-2.475761842,-3.747788285,-4.978697155,-6.930013606,-6.763664261
-1.568357925,-2.077036778,-3.013460737,-3.7217079,-5.133719846,-5.537977193
-0.783150333,-1.524853861,-2.006093598,-2.381951727,-2.981623541,-2.032221804
0.195844743,-0.169276976,-0.677080958,-1.195207073,-2.093744728,0.113839717
0.671694107,0.865429193,0.530534782,0.101453595,-1.527817353,0.596701176
1.042834012,1.262317838,1.079307306,0.747948933,-0.619133484,-0.063006731
1.018544228,0.699925974,0.329903284,0.046195382,-0.942060636,0.690263111
1.611465631,1.823057351,1.825612461,1.984236109,0.268461307,-3.13225956
1.222697924,1.794912811,2.130572102,2.196573431,0.773696136,-1.763844578
1.148040139,1.509601006,1.444699795,1.682095531,1.054730948,-2.520683919
0.715252543,0.752378975,0.670049732,0.858679112,0.676103848,-2.209871409
0.330600075,-0.241075174,-0.668541991,-1.192900579,-1.883936471,-5.312857702
1.300723968,1.619136903,1.690280586,1.726912769,-1.056052088,-6.051560156
0.482573354,0.156993867,-0.279008059,-0.368937052,-3.076526406,-7.591771429
1.197296179,1.072825126,0.484553275,-0.180569712,-2.478596961,-6.041767531
1.59308213,1.813428893,1.411770901,1.306788991,-0.899902272,-5.210505391
0.56186674,0.391008978,0.024097862,0.284592412,-0.950916909,-5.979920531
1.241260948,1.507704586,1.676336627,1.732661295,0.956917974,-4.974876961
2.214661382,3.236896816,3.967667117,4.329769254,2.984396394,-3.966444179
0.862643418,0.866520812,0.734611307,0.575003569,1.20534409,0.196727759
1.172230891,1.501446968,1.793234891,1.538254184,0.694226381,-0.317519738
1.880527495,2.797239389,3.109357395,2.748596516,1.30055419,0.422063796
2.071041173,3.104736943,4.170192901,3.959235018,3.951013759,2.781099379
2.653053966,4.170619469,5.39575851,5.534903878,6.56669859,7.012393005
2.137265334,3.388556114,4.295623396,4.952763797,6.221352004,7.047166109
2.901404575,4.953231382,6.504084496,7.931451199,10.01602164,10.10810905
2.402201234,4.280470994,5.678937429,6.788076091,8.224826798,9.774716149
1.571351241,2.8407839,3.498631598,4.201983007,5.122014895,4.605877999
1.813672327,2.958359425,3.208388244,3.39294183,4.011282354,3.828214646
1.881312727,2.903498808,3.4720062,3.555746722,3.668317482,3.355622638
1.665443871,2.470766942,3.003549785,3.260791385,3.856674788,3.925190505
2.047627718,3.32994603,4.450381496,4.565196061,5.637045144,5.885025883
1.809032766,3.010416373,4.269521059,4.768507346,6.038359346,5.771748499
1.177546158,1.948170844,2.855626957,3.410641655,4.477927891,4.838734679
0.850161834,1.395956572,2.115188748,2.837305587,4.03619615,4.969450259
0.268930071,0.520185801,1.080905334,1.662885357,2.61083503,3.239787921
-0.253410488,-0.692378233,-0.624683201,-0.67665427,0.17067313,0.891491687
-0.862087068,-1.893337598,-2.407467782,-2.948864141,-2.514765296,-1.347084515
-1.0399398,-1.97974757,-2.8013971,-3.559946507,-4.693981396,-7.029962563
-0.44209369,-0.821833861,-0.91984266,-1.38113118,-2.548715267,-4.684089611
-0.534854683,-1.010969962,-1.097945372,-1.393145838,-2.606419203,-5.088011672
-0.698355097,-1.375695875,-1.568907214,-1.920099706,-2.939078007,-5.53089655
-0.78506057,-1.761013352,-1.974359523,-2.578047887,-3.582721604,-5.842660678
-1.260154627,-2.545660184,-3.09717259,-3.850876215,-5.582692631,-8.465586993
-1.740084865,-3.589829145,-4.626508389,-5.720525844,-7.325049493,-9.87078766
-1.384643723,-2.821617897,-3.627931417,-4.394729236,-6.002730029,-8.603730098
-1.529616894,-2.758459805,-3.650712384,-4.656833922,-6.335149098,-7.709539711
-1.692952585,-2.970444824,-3.682056081,-4.541134686,-6.492949977,-9.106689186
-2.198744504,-3.690891636,-4.877664267,-6.158435235,-7.684842892,-10.83562658
-2.535836781,-4.179652639,-4.791200607,-5.536542748,-7.421073467,-10.00342368
-2.904532286,-4.668744881,-5.469326547,-6.048446835,-7.829750163,-9.626790884
-2.237102324,-3.543037461,-3.674038187,-4.032609514,-5.553633674,-7.281502971
-2.206796751,-3.561026368,-3.770629439,-4.683246858,-6.291802214,-8.355463661
-1.842658092,-3.185699394,-3.377981652,-4.0359459,-5.288788703,-6.852617253
-1.809785095,-3.232801113,-3.639093055,-4.412560406,-5.426590917,-7.909373726
-1.35952848,-2.226358534,-2.120916177,-2.362395051,-2.774908493,-4.301710659
-0.532645988,-0.562440648,-0.380961773,-0.483771101,-0.268898613,-1.015550719
-1.050187634,-1.374462894,-1.540856197,-1.70917028,-2.156528853,-3.550518664
-1.766695289,-2.676920852,-3.113896065,-3.490025027,-4.864757321,-7.030643857
-2.210926489,-3.417868744,-3.958335249,-4.17737257,-5.307134391,-7.588595265
-3.526286321,-5.677632561,-7.340949045,-9.207670312,-12.02795661,-16.36468181
-2.349542097,-4.526388165,-5.423471605,-6.809985536,-9.958906174,-14.00662062
-1.967872794,-3.61577958,-4.64344163,-5.267578364,-7.903184119,-11.17813123
-2.740500208,-5.416818715,-7.19407322,-9.153641071,-13.41710418,-19.95666822
-5.176608162,-10.50055468,-13.23122145,-15.99283084,-20.24234925,-28.32959152
-5.758689216,-10.48490002,-12.85015848,-14.17725402,-19.33861637,-25.86693884
-1.185726742,-2.575497544,-3.839763691,-4.659219999,-7.540629279,-12.33237164
0.393136445,-0.684870084,-1.65416258,-2.875592414,-5.752407253,-10.27764297
0.038455444,-1.189120758,-2.304248864,-3.425422066,-5.60019425,-9.838449767
-0.342212352,-1.98140506,-3.595019563,-5.265958337,-7.659332714,-14.07803983
-1.967338987,-4.687360323,-7.210667909,-10.01807016,-14.67852874,-18.54533799
-2.65318775,-5.47226352,-8.189396945,-10.35181874,-14.88733948,-20.94129437
-2.05147256,-3.791533521,-5.730437174,-7.831503496,-10.69044725,-16.98495544
-3.893026313,-7.222452986,-9.562074994,-12.14261567,-14.01253771,-18.48614171
