rx_2,rx_3,rx_4,rx_5,rx_6,rx_7,rx_8,rx_9,rx_10,rx_11,rx_12,rx_13,rx_14,rx_15,rx_16,rx_17,rx_18,rx_19,rx_20
1.996415092,3.062185214,3.053297503,4.270955285,5.551925544,4.003983884,4.890426613,4.826752994,4.056252286,7.228786598,10.30056442,9.357397207,8.080682078,6.552993841,4.082542423,1.148681289,-2.262356673,-5.901992981,-9.435722525
4.461733911,6.772098421,8.670930152,10.84470543,12.66929935,13.50435717,17.3486544,17.7993625,14.94388844,19.04203881,26.54938083,30.61053888,32.63678296,33.99964219,35.08622332,36.29102638,37.48608266,38.60906961,39.60147255
5.748433363,9.152755571,12.1905018,14.32704631,17.97464871,19.04522813,24.45879501,27.86140017,28.16934254,34.78915719,41.10074552,43.94726877,46.87000862,49.57711084,51.58840773,53.20731372,54.63336174,55.86120958,56.88496828
4.894909142,8.128632837,11.3351004,14.37356638,20.33645982,21.0666926,24.88477396,26.78217943,25.76907177,33.48256784,42.10754819,46.85937295,49.14676668,49.35038693,49.32934337,49.06622126,48.40956157,47.31222144,45.87617511
3.109529539,5.38606399,7.758011411,7.27317009,8.898542361,9.681957186,12.64887336,13.91828876,13.69689563,20.75898583,24.76451632,25.45527903,25.7933893,25.65654274,25.72061811,25.52660035,25.25040682,24.74425143,23.9405967
4.851117995,8.438315517,11.67656633,13.69598031,16.11976511,17.33743482,21.33848394,23.2654921,24.65829266,33.06298881,37.97588277,39.50593703,40.17458463,41.36918633,43.48260485,45.38774423,47.34538752,49.3072801,51.64249604
4.824417225,8.394377732,11.25395553,13.27748716,15.97005482,17.00031136,20.36295504,21.31529072,22.35942073,29.49101383,34.1405707,36.09227098,35.85228635,35.6453744,35.4787174,34.97022462,34.07232038,32.53516977,29.88426215
5.215749894,8.827031227,11.91676197,14.73789202,17.11061262,18.879617,22.46228237,23.12900706,24.55274695,32.96354014,39.25451116,41.06876175,41.06078957,41.78334659,42.77881374,43.39634598,43.86686082,44.35993401,45.01028028
4.606650431,8.277298724,11.53839362,13.66761912,16.39658467,18.37447937,21.99978856,22.48328743,22.45413563,27.1792813,31.69936172,33.9526891,33.97565036,34.21005949,34.49881293,34.55708415,34.3646071,34.37502566,35.89291428
4.851730144,8.452172137,11.22976618,13.2722513,16.20849708,18.62893531,21.38893735,21.91834076,23.62252626,28.919099,30.84814733,31.7427741,31.97335863,33.0982496,34.6439588,36.03138893,37.39681602,39.57129159,43.65774667
4.32541845,7.300453512,9.917384268,11.04920857,13.13487615,14.70041224,17.191846,18.54279597,20.08605516,22.17455168,24.11674728,26.18148399,26.66121385,28.34300175,30.35145231,32.16500162,34.14530741,35.79363272,37.86261699
4.631886839,8.286582403,11.14937575,12.70458218,15.94405357,17.79654578,20.517209,21.66619413,22.40191629,24.49070812,27.94646246,30.84584536,32.06308998,33.51408938,34.93210887,36.19100828,37.68417472,40.68825137,44.44974762
2.967689217,5.338420158,6.326061477,5.613902335,8.588205443,10.1473702,11.4795141,11.54497148,11.64215663,11.94494009,13.62533652,16.21686326,17.68352153,19.65424188,21.74702953,23.67595429,25.30098972,25.11563448,27.74845003
2.030735172,3.360442402,3.655812839,2.49923356,3.813150664,2.435177767,2.648185466,4.887373169,4.133749992,3.090641855,3.66733577,3.429568865,3.151334456,3.236531833,3.368504084,3.264772849,3.642122642,4.947151625,6.736047594
2.244967801,3.544878404,4.202018779,1.35602036,3.033605004,1.434010885,1.112233393,2.755864916,2.300375729,1.208915977,1.473016599,0.993534755,0.427646462,0.585625724,0.850306655,0.973209689,1.816936785,3.934409608,6.97734762
0.959282847,1.090448389,0.139909205,-3.191019019,-1.761121553,-4.814107418,-6.142838045,-5.754508332,-9.727678508,-13.12706246,-12.34228367,-11.58903633,-11.52195251,-11.18594349,-10.6668071,-10.36412664,-9.144483964,-6.836255562,-3.153854474
0.648654558,0.564560957,0.429092703,-2.317356422,-1.507224051,-3.382680575,-3.530617454,-2.651164618,-7.586981714,-9.486632679,-9.113193296,-8.226846187,-7.338848113,-6.600035707,-5.757720995,-5.143589802,-3.665472052,-2.458243027,-2.031477294
0.140417071,-0.328603117,-1.115594136,-4.047377815,-3.708906854,-6.13769502,-7.055949686,-7.151701705,-12.35840332,-14.1649185,-13.61206166,-12.52076387,-12.16938897,-12.22284683,-12.20682634,-12.38920494,-11.8130184,-12.16526474,-11.8610491
0.550812662,0.414765205,-0.275744606,-2.147957,-1.252886343,-2.506468361,-2.521689588,-2.72408809,-7.073240412,-8.517633599,-7.269804225,-5.620473745,-4.478130134,-3.155631554,-1.643851533,-0.493907918,1.371023604,4.126714452,5.232377181
-0.144148374,-1.185562421,-2.345383044,-5.568673124,-6.459006907,-8.770289861,-8.935445264,-9.196196672,-14.77716011,-17.76951491,-17.35335897,-16.09872297,-15.52855603,-14.78655546,-13.81424822,-13.13585295,-12.15952959,-11.80337687,-9.510650198
