Time Period,1-year yield,2-year yield,3-year yield,4-year yield,5-year yield,6-year yield,7-year yield,8-year yield,9-year yield,10-year yield,11-year yield,12-year yield,13-year yield,14-year yield,15-year yield,16-year yield,17-year yield,18-year yield,19-year yield,20-year yield
30/11/1970,5.06,5.39,5.72,5.86,5.99,6.19,6.38,6.42,6.45,6.49,6.48,6.47,6.46,6.45,6.44,6.43,6.42,6.41,6.40,6.39
31/12/1970,4.94,5.39,5.84,5.91,5.98,6.12,6.25,6.33,6.42,6.50,6.50,6.49,6.49,6.48,6.48,6.47,6.47,6.46,6.46,6.45
31/01/1971,4.23,4.79,5.34,5.56,5.78,5.93,6.07,6.08,6.08,6.09,6.09,6.09,6.08,6.08,6.08,6.08,6.08,6.07,6.07,6.07
28/02/1971,3.69,4.27,4.84,5.10,5.36,5.57,5.78,5.90,6.02,6.14,6.15,6.16,6.17,6.18,6.19,6.20,6.21,6.22,6.23,6.24
31/03/1971,3.92,4.24,4.56,4.81,5.06,5.21,5.36,5.42,5.47,5.53,5.56,5.59,5.62,5.65,5.68,5.71,5.74,5.77,5.80,5.83
30/04/1971,4.77,5.27,5.76,5.92,6.08,6.13,6.17,6.14,6.11,6.08,6.08,6.08,6.09,6.09,6.09,6.09,6.09,6.10,6.10,6.10
31/05/1971,5.13,5.52,5.91,6.08,6.24,6.32,6.40,6.39,6.39,6.38,6.37,6.36,6.35,6.34,6.33,6.31,6.30,6.29,6.28,6.27
30/06/1971,6.24,6.51,6.77,6.82,6.86,6.90,6.93,6.85,6.78,6.70,6.67,6.65,6.62,6.60,6.57,6.54,6.52,6.49,6.47,6.44
31/07/1971,6.18,6.51,6.83,6.90,6.96,6.98,6.99,6.94,6.90,6.85,6.81,6.77,6.72,6.68,6.64,6.60,6.56,6.51,6.47,6.43
31/08/1971,5.28,5.55,5.81,5.94,6.07,6.15,6.22,6.24,6.26,6.28,6.26,6.24,6.22,6.20,6.19,6.17,6.15,6.13,6.11,6.09
30/09/1971,5.27,5.52,5.77,5.92,6.06,6.08,6.10,6.07,6.03,6.00,6.00,5.99,5.99,5.99,5.99,5.98,5.98,5.98,5.97,5.97
31/10/1971,4.64,4.97,5.30,5.54,5.78,5.83,5.88,5.88,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87
30/11/1971,4.76,5.08,5.39,5.62,5.84,5.95,6.05,6.01,5.97,5.93,5.93,5.93,5.94,5.94,5.94,5.94,5.94,5.95,5.95,5.95
31/12/1971,4.46,4.81,5.15,5.33,5.50,5.68,5.85,5.86,5.88,5.89,5.90,5.91,5.92,5.93,5.94,5.95,5.96,5.97,5.98,5.99
31/01/1972,4.36,4.84,5.32,5.54,5.75,5.90,6.05,6.06,6.08,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09
29/02/1972,4.34,4.81,5.27,5.48,5.68,5.82,5.95,5.98,6.01,6.04,6.04,6.04,6.04,6.04,6.04,6.03,6.03,6.03,6.03,6.03
31/03/1972,5.11,5.49,5.86,5.98,6.10,6.13,6.16,6.15,6.13,6.12,6.12,6.12,6.12,6.12,6.12,6.11,6.11,6.11,6.11,6.11
30/04/1972,4.61,5.10,5.58,5.74,5.89,5.99,6.08,6.10,6.12,6.14,6.14,6.14,6.13,6.13,6.13,6.13,6.13,6.12,6.12,6.12
31/05/1972,4.64,5.05,5.46,5.63,5.79,5.90,6.00,6.02,6.03,6.05,6.04,6.03,6.02,6.01,6.01,6.00,5.99,5.98,5.97,5.96
30/06/1972,5.15,5.48,5.80,5.90,6.00,6.07,6.13,6.14,6.14,6.15,6.14,6.13,6.12,6.11,6.10,6.09,6.08,6.07,6.06,6.05
