,2-year yield,3-year yield,4-year yield,5-year yield,7-year yield,10-year yield,tau_t*100,tau*100*1.28
197108,5.465682356,5.688106978,5.775453701,5.927286117,6.141192692,6.265395935,3.198796689,4.094459762
197109,5.43721587,5.641901536,5.771729908,5.926384438,5.963860389,5.838999999,3.209219267,4.107800662
197110,4.919793695,5.191203495,5.447413561,5.642362476,5.771723507,5.740667707,3.216072937,4.11657336
197111,5.013393341,5.28796004,5.493876191,5.682248201,5.906096712,5.823149838,3.219429822,4.120870172
197112,4.76337062,5.050060662,5.239453205,5.415486995,5.739020353,5.882558045,3.219360806,4.120781832
197201,4.784157662,5.251448364,5.530735927,5.699207767,5.929997648,6.076936857,3.219189628,4.120562724
197202,4.732487373,5.195465939,5.470653481,5.635588018,5.865935234,6.008574603,3.225316087,4.128404591
197203,5.49322373,5.756141849,5.887456555,5.972751865,6.058228323,6.041605631,3.228108833,4.131979306
197204,5.052030142,5.48815325,5.662215372,5.755139406,5.969327309,6.14472479,3.230755639,4.135367217
197205,4.939791935,5.365431971,5.553211893,5.717773816,5.908764004,6.101101185,3.230029123,4.134437277
197206,5.424305031,5.683359328,5.814039968,5.922424127,6.005007764,5.997786658,3.225997646,4.129276986
197207,5.205220535,5.64336733,5.819265009,5.911950116,6.036485301,6.159838767,3.221926431,4.124065832
197208,5.604922068,5.892473567,6.047935162,6.12942903,6.246441477,6.327261249,3.217816442,4.118805046
197209,5.763759997,5.9237166,6.024133521,6.087022617,6.250956202,6.459722625,3.216760185,4.117453037
197210,5.734925079,5.928864051,6.06089042,6.106205611,6.20671936,6.330015228,3.215619508,4.115992971
197211,5.599322113,5.853695815,5.966374768,6.007241201,6.086620729,6.227117188,3.217465639,4.118356018
197212,5.836805649,6.012437578,6.074340051,6.109830438,6.183227146,6.275243042,3.219183326,4.120554658
197301,6.204131559,6.297506541,6.338495499,6.32561267,6.300883029,6.390837332,3.223822806,4.126493192
197302,6.525592438,6.587459898,6.628968179,6.59356031,6.540342819,6.40657441,3.231208115,4.135946387
197303,6.809134712,6.723762325,6.702829828,6.650516094,6.621188599,6.490282454,3.250534538,4.160684209
197304,6.636826247,6.639827016,6.6205907,6.581811117,6.619704324,6.566784675,3.275428666,4.192548693
197305,6.770723965,6.647505173,6.612839414,6.608802876,6.724048521,6.74983579,3.302806492,4.22759231
197306,6.981258819,6.878178132,6.794731878,6.736651489,6.739188785,6.747487731,3.335560766,4.269517781
197307,7.956346657,7.791312255,7.733421592,7.619698676,7.335569671,7.078399332,3.364775461,4.30691259
197308,7.630601568,7.258163778,7.129681355,7.060592217,7.005431708,6.887689599,3.413823041,4.369693493
197309,6.794601768,6.601707764,6.58899644,6.58476754,6.641267798,6.68919672,3.461807492,4.43111359
197310,6.678627924,6.655506451,6.648795788,6.638863572,6.614193803,6.560613965,3.517537739,4.502448305
197311,6.700870676,6.615291767,6.599056355,6.625632403,6.632229781,6.577061788,3.574921529,4.575899557
197312,6.738164323,6.653203716,6.64984397,6.659289851,6.648119475,6.718857011,3.6397768,4.658914304
197401,6.677836433,6.698455038,6.734325157,6.779739145,6.829592036,6.87629769,3.711649269,4.750911065
197402,6.789127795,6.782572805,6.782569439,6.808050262,6.824390185,6.848224822,3.787301062,4.84774536
197403,7.689239238,7.592201184,7.526078099,7.494595111,7.333634862,7.016638681,3.863602207,4.945410824
197404,8.224011907,8.091046998,8.013008071,7.972823348,7.733515138,7.377098449,3.938089675,5.040754784
197405,8.003977517,7.894213781,7.859418938,7.840598067,7.643944126,7.270336047,4.019116484,5.144469099
197406,8.180605362,8.141947269,8.121678511,8.079427614,7.768579626,7.351200841,4.100892131,5.249141928
197407,8.387989037,8.348599002,8.285949519,8.229548646,7.95054484,7.374205624,4.189539613,5.362610705
197408,8.751263932,8.483306702,8.358961519,8.37489408,8.140696869,7.690175365,4.269441665,5.464885331
197409,7.922386638,7.875984591,7.864972366,7.858867845,7.795172303,7.505256968,4.36064976,5.581631692
197410,7.648176662,7.732347856,7.756771786,7.754563641,7.504543112,7.158945636,4.449454604,5.695301893
197411,7.220946589,7.309555752,7.342212754,7.39172083,7.27563965,7.001232583,4.541263392,5.812817141
197412,7.146461817,7.137976036,7.121714902,7.110104866,7.013671047,6.826983496,4.630656845,5.927240762
197501,6.615379991,6.860166492,7.015005172,7.149126974,7.101614489,6.731852515,4.714905425,6.035078944
197502,6.217010689,6.517158377,6.722632468,6.916768036,7.03942672,6.618709285,4.791679226,6.133349409
197503,6.680436729,6.957197612,7.142903592,7.265629929,7.287878661,6.714638189,4.858718613,6.219159824
197504,7.415221789,7.659785853,7.768787479,7.796338666,7.630770157,6.921523555,4.921667928,6.299734948
197505,6.744660817,7.08060031,7.212122968,7.334546443,7.500336016,7.498383891,4.972805661,6.365191247
197506,7.086540198,7.299431115,7.435679011,7.468496635,7.454598247,7.427840883,5.02237895,6.428645057
197507,7.522255503,7.735804429,7.743490676,7.689572734,7.592130886,7.53036717,5.075465979,6.496596453
197508,7.605634172,7.759841186,7.882379626,7.813389418,7.82887496,7.7134659,5.116942799,6.549686783
197509,7.919183429,8.032589789,8.114144429,8.033035798,8.108355403,8.033806582,5.149329541,6.591141812
197510,6.888438767,7.178592476,7.311219077,7.466832345,7.689831052,7.791152919,5.178182287,6.628073328
197511,7.141296507,7.386259566,7.459615206,7.601678791,7.811437964,7.800041778,5.203414349,6.660370366
197512,6.636582688,6.97812291,7.165789109,7.305384743,7.472696511,7.492860683,5.225293697,6.688375932
197601,6.320562284,6.840767924,7.078224966,7.32351911,7.495296694,7.332973024,5.241575626,6.709216802
197602,6.651086256,7.00271279,7.110238532,7.285718971,7.471442457,7.345690329,5.252537882,6.723248489
197603,6.590828021,6.904348511,7.103314035,7.242024959,7.390975701,7.319850482,5.260747539,6.73375685
197604,6.527876298,6.806924885,6.991303983,7.195249954,7.382857318,7.41477469,5.26625489,6.740806259
197605,7.174526538,7.362551173,7.517875401,7.547668842,7.678882491,7.636638361,5.276173476,6.753502049
197606,6.858091088,7.08960565,7.280891198,7.393907106,7.558985822,7.55446129,5.283103545,6.762372537
197607,6.636960478,6.90945079,7.140753553,7.324053618,7.513646417,7.552355608,5.284710586,6.76442955
197608,6.43689204,6.686107689,6.951677384,7.14447079,7.343337318,7.520066841,5.288314978,6.769043172
197609,6.221819393,6.525769364,6.786691,6.989898371,7.226315844,7.368243064,5.289102174,6.770050783
197610,5.976310543,6.251550896,6.546699426,6.72890279,7.059694648,7.263783642,5.289509093,6.770571639
197611,5.367653934,5.621378961,5.901675828,6.093711011,6.535545675,6.979103627,5.284956056,6.764743752
197612,5.313103943,5.652176386,5.927789444,6.144686566,6.433422749,6.660686962,5.280124123,6.758558877
197701,6.084894018,6.434178809,6.725970177,6.864549621,6.969119501,7.066438403,5.277348124,6.755005599
197702,6.017958974,6.406234962,6.755448006,6.937544217,7.038983471,7.114238947,5.285501002,6.765441282
197703,5.936083211,6.334623213,6.679249443,6.872642997,7.051008464,7.133677716,5.297784537,6.781164208
197704,6.01046683,6.344197365,6.696596084,6.839927051,7.042699383,7.187071124,5.316284713,6.804844432
197705,6.078628159,6.340222978,6.643174245,6.799210805,6.973543132,7.131705603,5.331937163,6.824879569
197706,5.969107637,6.177952809,6.47021072,6.613526379,6.869502349,7.144336535,5.346951881,6.844098408
197707,6.376225479,6.559885562,6.795473967,6.90287307,7.091107034,7.248440512,5.361341584,6.862517227
197708,6.411570929,6.61743205,6.761455932,6.851046703,6.99983586,7.216544784,5.375118759,6.880152011
197709,6.677660256,6.788018963,6.89620118,6.987546703,7.105200178,7.238685169,5.386176673,6.894306141
197710,7.001009473,7.12215631,7.219039061,7.257399,7.323694312,7.392356606,5.396684208,6.907755786
197711,6.923262745,7.034407367,7.126617551,7.190831861,7.260542588,7.397876687,5.41098665,6.926062912
197712,7.046501219,7.223093528,7.360026262,7.445975098,7.523671676,7.697184762,5.424683021,6.943594266
197801,7.2831644,7.42189396,7.536459448,7.589300245,7.671962923,7.798610645,5.439860378,6.963021284
