1-year yield,2-year yield,3-year yield,4-year yield,5-year yield,6-year yield,7-year yield,8-year yield,9-year yield,10-year yield,11-year yield,12-year yield,13-year yield,14-year yield,15-year yield,16-year yield,17-year yield,18-year yield,19-year yield,20-year yield
15.36607181,14.88731906,14.65621206,14.40414734,14.10456145,13.98126082,13.89262859,13.851404,13.8034331,13.74063901,13.67192226,13.60695365,13.55255677,13.52662417,13.47619737,13.35668423,13.21618014,13.08294055,12.95883822,12.83970896
15.96195666,15.68063318,15.32082733,15.14934977,14.84693872,14.67960225,14.67038207,14.57347274,14.40045252,14.20550911,14.06040839,14.20853708,14.36986102,14.41860655,14.4186908,14.40777645,14.41595694,14.42884407,14.44450244,14.46178509
15.56199618,15.71892691,15.56899281,15.47514821,15.19537085,14.98909998,14.95028413,14.94101953,14.94456474,14.93870687,14.91786402,14.89741501,14.89306722,14.90950695,14.91429066,14.89262751,14.86077822,14.83205144,14.80721092,14.78461043
13.91403285,14.007043,13.91110449,14.02953756,13.987032,14.29918237,14.27062262,14.09884142,13.98125639,13.82510018,13.71529827,13.89090296,14.1733167,14.30522783,14.23701546,14.14719299,14.06746774,13.99444029,13.92578159,13.86024417
11.25605396,11.7727831,12.04444594,12.35528667,12.26642862,12.26301056,12.4247705,12.47678117,12.5840295,12.62559341,12.60414755,12.57006814,12.57543642,12.64334833,12.68064845,12.69068567,12.7015781,12.71391884,12.72677224,12.73991052
13.05159987,13.31304908,13.40599118,13.55412958,13.49507069,13.40870572,13.42078776,13.42712085,13.48899405,13.51781572,13.50357919,13.49205448,13.49942528,13.55954699,13.61670261,13.6692005,13.72302442,13.77695689,13.83134019,13.88709867
13.56935932,13.61590195,13.65096249,13.66934308,13.48316291,13.55225598,13.60969575,13.64212845,13.68991565,13.63997362,13.57367884,13.59148956,13.6536732,13.66163345,13.65063784,13.62384724,13.59447666,13.56515057,13.5349748,13.5021335
13.51728922,13.62238216,13.56593482,13.53114992,13.48745807,13.38924106,13.36753271,13.34811126,13.36378322,13.35775861,13.38977715,13.49621793,13.54217778,13.59981745,13.64161775,13.6724827,13.70318674,13.73408265,13.76496844,13.7955221
13.72816543,13.7417033,13.76557947,13.7710559,13.61396521,13.60961077,13.56992482,13.55290695,13.5466798,13.31152268,13.0714103,13.15761366,13.23427413,13.23971405,13.23388652,13.22338009,13.21335728,13.20438378,13.19698291,13.19218501
13.2335513,13.35736182,13.35816763,13.25688786,13.1105837,13.23471435,13.25375008,13.17935202,13.20934174,13.08517097,12.87339727,12.79884266,12.79614713,12.79550952,12.82173089,12.85916494,12.89568845,12.93099844,12.96534245,12.99887073
12.63420981,13.06662892,13.15611959,13.19378209,13.0911654,13.09861529,13.12205581,13.09731526,13.23651127,13.06819323,12.76786645,12.78258804,12.88061275,12.92261656,12.99699666,13.07660732,13.15582412,13.23506189,13.31502916,13.39691637
13.96902595,14.05750532,14.09104304,14.00734862,13.76420269,13.87137321,13.79210304,13.71567362,13.8117334,13.45334208,13.11300141,13.2524646,13.40800101,13.47021848,13.48725872,13.49636854,13.50728933,13.52039418,13.5365715,13.55760683
12.41215121,12.77018959,13.06574001,12.96192616,12.78629841,13.14004482,13.1468824,13.18893954,13.27305658,12.94217193,12.65838548,12.75710015,12.90303843,13.00267214,13.07145657,13.13560606,13.19991779,13.26462416,13.33005597,13.39688851
10.93757579,11.61421345,11.98817076,12.0601596,12.05179287,12.33982792,12.08124935,12.14179102,12.49342451,12.14169443,11.79523228,11.83267877,11.91183444,11.99363277,12.07122259,12.14827907,12.22501966,12.30159446,12.37840668,12.45605538
10.12742428,10.99611334,11.38269829,11.54366494,11.29696059,11.68860209,11.44558244,11.4611748,11.80749356,11.43686402,11.15722979,11.22699152,11.30538627,11.37458442,11.45337101,11.53333053,11.61476098,11.69906502,11.78947523,11.8930116
9.205144018,9.845323901,10.28967233,10.38301402,10.28581937,10.79968803,10.51933354,10.59731319,10.91236749,10.35606129,10.0689261,10.297387,10.53485433,10.71653773,10.85682852,10.99584608,11.13783357,11.28502421,11.4422593,11.6199077
9.179982693,9.745609934,10.13569377,10.42592158,10.46484686,10.82269161,10.67722936,10.86415078,11.12602978,10.52610438,10.31370072,10.44998342,10.66446546,10.8555534,10.98366107,11.10684636,11.22996745,11.35409642,11.4805706,11.61191515
8.723380288,9.364029068,9.82945071,10.05631089,10.15566793,10.50899165,10.37967073,10.58933332,10.78878631,10.19585666,10.03735957,10.20573132,10.47381908,10.67013768,10.78167852,10.8896544,10.9982727,11.10105461,11.17200722,11.31128863
8.838027367,9.494575214,9.951352492,10.11724608,10.3348276,10.76636931,10.73776811,11.0355318,11.15895775,10.61794797,10.48339367,10.64712558,10.90437759,11.10432286,11.25661102,11.40700196,11.55744369,11.72252801,11.92754911,12.04392827
8.511725214,9.176742009,9.563516162,9.792062098,9.938736763,10.19366034,10.13643929,10.47218865,10.62858961,10.09662499,9.940213214,10.13514923,10.445729,10.66419585,10.82924877,10.99283412,11.15730259,11.30566576,11.42816807,11.64915624
